sample_id,iterations_to_verify,final_verdict,epr_history_explainer,epr_history_verifier,xai_method,llm_pair,Mutated
gradcampp_sample2_output_explanation_mut2,1,accept,"[1.1, 0.5553610920906067]","[1.0, 0.8436493277549744]",Grad-Cam++,gpt_qwen,True
gradcampp_sample2_output_explanation_mut1,1,accept,"[1.1, 0.7335764765739441]","[1.0, 0.8772006630897522]",Grad-Cam++,gpt_qwen,True
int_gradients_sample198_output_explanation_mut4,3,accept,"[1.1, 0.43845364451408386, 0.33190953731536865, 0.35868555307388306]","[1.0, 0.7967506647109985, 0.7608835101127625, 0.8042033910751343]",Integrated Gradients,gpt_qwen,True
int_gradients_sample198_output_explanation_mut6,7,accept,"[1.1, 0.4669716954231262, 0.4771169126033783, 0.6223183870315552, 0.5129614472389221, 0.2794811427593231, 0.34218692779541016, 0.3248192369937897]","[1.0, 1.2684123516082764, 0.9070978164672852, 0.6588037610054016, 0.6906044483184814, 0.7736844420433044, 0.7063167691230774, 0.7992139458656311]",Integrated Gradients,gpt_qwen,True
int_gradients_sample198_output_explanation_mut3,5,accept,"[1.1, 0.5657810568809509, 0.2852545380592346, 0.28935950994491577, 0.5602772831916809, 0.41147109866142273]","[1.0, 0.7908397316932678, 1.1168570518493652, 0.6737836599349976, 0.8786459565162659, 1.1158039569854736]",Integrated Gradients,gpt_qwen,True
int_gradients_sample198_output_explanation_mut1,10,reject,"[1.1, 0.2535974383354187, 0.41824761033058167, 0.5783045291900635, 0.36582404375076294, 0.4245360195636749, 0.43812182545661926, 0.4848376512527466, 0.5334277153015137, 0.4838692843914032, 0.3146686553955078]","[1.0, 0.680325984954834, 1.2272385358810425, 0.8061391115188599, 0.8396727442741394, 0.7647760510444641, 1.1892012357711792, 0.7892577052116394, 0.645157516002655, 0.7438290119171143, 0.9241172075271606]",Integrated Gradients,gpt_qwen,True
int_gradients_sample198_output_explanation_mut5,10,reject,"[1.1, 0.7012484669685364, 0.4376256763935089, 0.5602195262908936, 0.5364513397216797, 0.8279746770858765, 0.5996244549751282, 0.29248443245887756, 0.6541763544082642, 0.39494335651397705, 0.3141063153743744]","[1.0, 0.901210367679596, 0.7055805921554565, 1.0974714756011963, 1.0380702018737793, 0.844319224357605, 1.106474757194519, 0.6994574666023254, 0.767310380935669, 0.852538526058197, 1.0735961198806763]",Integrated Gradients,gpt_qwen,True
int_gradients_sample198_output_explanation_mut2,10,reject,"[1.1, 0.7178652286529541, 0.33918288350105286, 0.3310736417770386, 0.5179503560066223, 0.5876158475875854, 0.45604848861694336, 0.31801825761795044, 0.43690255284309387, 0.45516151189804077, 0.6327998638153076]","[1.0, 1.0422313213348389, 1.1827117204666138, 1.2034817934036255, 0.7248207926750183, 0.6604195833206177, 1.262468695640564, 0.4669070541858673, 0.6252242922782898, 0.7793168425559998, 0.888154149055481]",Integrated Gradients,gpt_qwen,True
LIME_diamonds.out_explanation_mut4,2,accept,"[1.1, 0.452377051115036, 0.5851486921310425]","[1.0, 0.9461009502410889, 1.1357766389846802]",LIME,gpt_qwen,True
LIME_diamonds.out_explanation_mut3,10,reject,"[1.1, 0.8953216075897217, 0.5151925683021545, 0.5376477241516113, 0.8056766986846924, 0.6522364020347595, 0.6909816265106201, 0.4831426441669464, 0.6491355895996094, 0.6670835614204407, 0.6592788100242615]","[1.0, 1.1637970209121704, 1.2507928609848022, 1.1524157524108887, 1.1677578687667847, 1.2064486742019653, 1.0947751998901367, 1.1206512451171875, 1.039808750152588, 1.2334654331207275, 1.1493719816207886]",LIME,gpt_qwen,True
LIME_diamonds.out_explanation_mut1,8,accept,"[1.1, 1.08695650100708, 0.5526349544525146, 0.4660387337207794, 0.5706135630607605, 0.5108909606933594, 0.6744398474693298, 0.3603154420852661, 0.5946726202964783]","[1.0, 1.306012749671936, 1.0662031173706055, 1.0241162776947021, 1.2105035781860352, 1.1637781858444214, 1.0924211740493774, 0.8314215540885925, 1.0013628005981445]",LIME,gpt_qwen,True
LIME_diamonds.out_explanation_mut5,6,accept,"[1.1, 0.6797425746917725, 0.6194571256637573, 0.3952053189277649, 0.6461004614830017, 0.29673483967781067, 0.6079679727554321]","[1.0, 1.080873727798462, 1.308471918106079, 1.018215298652649, 1.245313286781311, 1.1714247465133667, 1.1254189014434814]",LIME,gpt_qwen,True
LIME_diamonds.out_explanation_mut2,3,accept,"[1.1, 0.9599528312683105, 1.2291210715886791e-08, 0.5198106169700623]","[1.0, 1.20831298828125, 0.8194175362586975, 0.9762844443321228]",LIME,gpt_qwen,True
LIME_diamonds.out_explanation_mut6,2,accept,"[1.1, 0.4185352623462677, 0.6878071427345276]","[1.0, 1.177450180053711, 0.9946964383125305]",LIME,gpt_qwen,True
wine.EBM.out_explanation_mut4,2,accept,"[1.1, 0.572568416595459, 0.2664785087108612]","[1.0, 1.2111934423446655, 0.8354581594467163]",EBM,gpt_qwen,True
wine.EBM.out_explanation_mut5,3,accept,"[1.1, 0.48295846581459045, 0.2550494968891144, 0.2712478041648865]","[1.0, 1.080429196357727, 1.0632188320159912, 1.10042405128479]",EBM,gpt_qwen,True
wine.EBM.out_explanation_mut6,1,accept,"[1.1, 0.17555542290210724]","[1.0, 0.6770696043968201]",EBM,gpt_qwen,True
wine.EBM.out_explanation_mut3,5,accept,"[1.1, 0.7391383051872253, 3.666414727376832e-08, 1.2727213061225484e-08, 0.4009755551815033, 0.22045187652111053]","[1.0, 1.2608696222305298, 0.9464676976203918, 1.138788104057312, 1.2412655353546143, 1.0678216218948364]",EBM,gpt_qwen,True
wine.EBM.out_explanation_mut2,5,accept,"[1.1, 0.8860306739807129, 0.2685851454734802, 2.9415627267326272e-08, 0.4430381655693054, 0.33160433173179626]","[1.0, 1.199971079826355, 1.2347203493118286, 0.8797820806503296, 0.8625847697257996, 0.653323233127594]",EBM,gpt_qwen,True
wine.EBM.out_explanation_mut1,1,accept,"[1.1, 0.390142560005188]","[1.0, 0.9001135230064392]",EBM,gpt_qwen,True
shap_acs_output_explanation_mut2,2,accept,"[1.1, 0.15757666528224945, 0.25018104910850525]","[1.0, 0.9894315600395203, 0.8003517985343933]",SHAP,gpt_qwen,True
shap_acs_output_explanation_mut6,1,accept,"[1.1, 0.558927595615387]","[1.0, 0.6872862577438354]",SHAP,gpt_qwen,True
shap_acs_output_explanation_mut3,4,accept,"[1.1, 0.30833855271339417, 0.36765214800834656, 0.25445258617401123, 0.3985457718372345]","[1.0, 1.0975544452667236, 1.1992290019989014, 0.9671861529350281, 0.7601471543312073]",SHAP,gpt_qwen,True
shap_acs_output_explanation_mut5,1,accept,"[1.1, 0.33125966787338257]","[1.0, 0.7301591634750366]",SHAP,gpt_qwen,True
shap_acs_output_explanation_mut4,1,accept,"[1.1, 0.22456768155097961]","[1.0, 0.9107933044433594]",SHAP,gpt_qwen,True
shap_acs_output_explanation_mut1,3,accept,"[1.1, 0.39694535732269287, 0.5123232007026672, 0.11284946650266647]","[1.0, 1.0454034805297852, 0.6550160646438599, 1.014161467552185]",SHAP,gpt_qwen,True
error_192_InsertHallucination,5,accept,"[0.566523015499115, 0.6735433340072632, 0.5031141638755798, 0.6205703020095825, 0.37438204884529114, 0.5239457488059998]","[1.2710130214691162, 1.1025309562683105, 1.1307975053787231, 1.2583529949188232, 1.160542368888855, 0.9374884366989136]",LIME,qwen_gpt,False
error_57_SwapTopFeature,5,accept,"[0.7412792444229126, 0.11663011461496353, 0.6594095230102539, 0.3253323435783386, 0.3288840353488922, 0.6875817179679871]","[1.0448333024978638, 1.1941498517990112, 1.0031077861785889, 0.7935652732849121, 1.3255034685134888, 1.305845022201538]",Integrated Gradients,qwen_gpt,False
error_155_InsertHallucination,2,accept,"[0.6125932335853577, 0.354989230632782, 0.7641705870628357]","[1.102711796760559, 0.9700795412063599, 1.0246013402938843]",LIME,qwen_gpt,False
error_38_SwapMinorFeature,1,accept,"[0.6721041202545166, 0.43318015336990356]","[0.9469802379608154, 1.0830515623092651]",Integrated Gradients,qwen_gpt,False
error_149_InsertHallucination,1,accept,"[0.6757344603538513, 0.778264582157135]","[0.9432827830314636, 0.9609748125076294]",SHAP,qwen_gpt,False
error_185_SwapTopFeature,3,accept,"[0.5167058110237122, 0.41480347514152527, 0.19389896094799042, 0.48962661623954773]","[1.2012091875076294, 0.8343631029129028, 0.8936745524406433, 1.0431216955184937]",LIME,qwen_gpt,False
error_46_OmitFeature,10,reject,"[0.4997948408126831, 0.4954773187637329, 0.27228638529777527, 0.2861460745334625, 0.7100675106048584, 0.3685668110847473, 0.7361231446266174, 0.29259055852890015, 0.5924225449562073, 0.520111083984375, 0.6919865608215332]","[1.291296362876892, 1.284279704093933, 1.3300482034683228, 1.0650163888931274, 1.2780473232269287, 1.3541706800460815, 1.3006986379623413, 1.2879315614700317, 1.2991693019866943, 1.1100965738296509, 1.0589317083358765]",LIME,qwen_gpt,False
error_122_InsertHallucination,1,accept,"[0.7495024800300598, 0.7053777575492859]","[1.1732441186904907, 1.0905451774597168]",EBM,qwen_gpt,False
